"cell_id"	"pseudo_time"	"cell_type"
"AZ_A10"	0.371498127860926	"delta cell"
"AZ_A11"	1.92083611066484	"alpha cell"
"AZ_A12"	1.83454721817498	"delta cell"
"AZ_A2"	0.428124594319944	"gamma cell"
"AZ_A5"	2.0004549439289	"ductal cell"
"AZ_A6"	1.91711444947283	"alpha cell"
"AZ_A7"	2.38609064815918	"acinar cell"
"AZ_A8"	1.86455463266043	"beta cell"
"AZ_A9"	1.60231998173161	"unclassified endocrine cell"
"AZ_B1"	1.80573883497026	"delta cell"
"AZ_B10"	1.78555829962861	"delta cell"
"AZ_B11"	2.05814232414947	"co-expression cell"
"AZ_B12"	2.03725909291576	"alpha cell"
"AZ_B2"	2.04749341851345	"alpha cell"
"AZ_B3"	2.08313910763856	"alpha cell"
"AZ_B4"	1.62080328850055	"unclassified endocrine cell"
"AZ_B5"	2.05744369124902	"alpha cell"
"AZ_B8"	2.33246208290243	"acinar cell"
"AZ_B9"	2.04652422339243	"alpha cell"
"AZ_C1"	2.0653867214359	"alpha cell"
"AZ_C10"	1.80752225468479	"beta cell"
"AZ_C11"	1.78612658491629	"delta cell"
"AZ_C2"	2.05442485852034	"alpha cell"
"AZ_C3"	2.25433417176559	"ductal cell"
"AZ_C4"	1.82612517741207	"beta cell"
"AZ_C5"	1.99235957589942	"alpha cell"
"AZ_C8"	2.03034412359086	"alpha cell"
"AZ_C9"	2.23074890703626	"ductal cell"
"AZ_D12"	0.417661842477735	"gamma cell"
"AZ_D2"	1.84865780104075	"beta cell"
"AZ_D3"	2.05364892688622	"alpha cell"
"AZ_D4"	2.04894135427226	"alpha cell"
"AZ_D5"	1.77960395840583	"delta cell"
"AZ_D6"	1.77641459944572	"beta cell"
"AZ_D7"	2.03495131089647	"alpha cell"
"AZ_D8"	0.38989001868615	"gamma cell"
"AZ_D9"	1.9263160232977	"alpha cell"
"AZ_E1"	1.62216922424736	"unclassified endocrine cell"
"AZ_E12"	1.97266632351444	"alpha cell"
"AZ_E2"	2.06792436991505	"alpha cell"
"AZ_E3"	2.05052117497118	"MHC class II cell"
"AZ_E4"	2.03658975201857	"alpha cell"
"AZ_E5"	2.0798971835415	"alpha cell"
"AZ_E7"	1.87201531691421	"beta cell"
"AZ_E8"	2.05896596602346	"alpha cell"
"AZ_E9"	2.07831033571914	"alpha cell"
"AZ_F1"	1.86178434287713	"beta cell"
"AZ_F11"	1.67312774205477	"unclassified endocrine cell"
"AZ_F2"	1.80635044266534	"beta cell"
"AZ_F3"	1.61936169715807	"unclassified endocrine cell"
"AZ_F4"	2.01218204809598	"alpha cell"
"AZ_F5"	2.22723120383148	"PSC cell"
"AZ_F6"	2.39031542534364	"acinar cell"
"AZ_F7"	2.00386873242261	"co-expression cell"
"AZ_F8"	2.01593739953772	"alpha cell"
"AZ_F9"	2.21258518500859	"ductal cell"
"AZ_G1"	1.96425053023041	"alpha cell"
"AZ_G10"	1.9779114160704	"alpha cell"
"AZ_G2"	1.71571416814834	"beta cell"
"AZ_G3"	1.94898534554585	"alpha cell"
"AZ_G4"	1.98615011860557	"alpha cell"
"AZ_G5"	0.419517940175972	"gamma cell"
"AZ_G6"	2.09821470414146	"co-expression cell"
"AZ_H1"	1.82592420197221	"delta cell"
"AZ_H10"	2.40570746113247	"acinar cell"
"AZ_H11"	1.85641677618678	"beta cell"
"AZ_H12"	0.437026209254103	"gamma cell"
"AZ_H2"	1.72566101420574	"beta cell"
"AZ_H3"	0.460839208857839	"gamma cell"
"AZ_H4"	1.77195315693369	"endothelial cell"
"AZ_H5"	0.430859429952688	"gamma cell"
"AZ_H6"	1.81128288053856	"beta cell"
"AZ_H9"	1.93567981182698	"alpha cell"
"HP1502401_A10"	1.84340954193584	"beta cell"
"HP1502401_A12"	1.96710206157648	"alpha cell"
"HP1502401_A14"	2.32435244980608	"acinar cell"
"HP1502401_A15"	2.01908893312692	"alpha cell"
"HP1502401_A17"	1.97622196370304	"alpha cell"
"HP1502401_A18"	1.77686968701318	"delta cell"
"HP1502401_A2"	1.79894235082658	"delta cell"
"HP1502401_A20"	1.62054068816258	"unclassified endocrine cell"
"HP1502401_A21"	1.62086490095004	"unclassified endocrine cell"
"HP1502401_A22"	2.32111929473309	"acinar cell"
"HP1502401_A23"	1.62048249598486	"unclassified endocrine cell"
"HP1502401_A24"	1.81289105629339	"delta cell"
"HP1502401_A4"	2.02425502753695	"alpha cell"
"HP1502401_A6"	1.8528463389626	"beta cell"
"HP1502401_A7"	1.83364162876977	"beta cell"
"HP1502401_B1"	1.75485459266077	"beta cell"
"HP1502401_B10"	1.98365805286466	"alpha cell"
"HP1502401_B11"	0.419482181509783	"gamma cell"
"HP1502401_B14"	1.8436238737816	"beta cell"
"HP1502401_B15"	0.399240046414818	"gamma cell"
"HP1502401_B16"	1.9509106290094	"alpha cell"
"HP1502401_B17"	2.33144285449496	"acinar cell"
"HP1502401_B18"	0.420282808603814	"gamma cell"
"HP1502401_B20"	1.88017315509583	"alpha cell"
"HP1502401_B21"	1.8324675278158	"beta cell"
"HP1502401_B22"	1.63209971708114	"unclassified endocrine cell"
"HP1502401_B23"	1.81887056010877	"beta cell"
"HP1502401_B24"	1.81510373190929	"beta cell"
"HP1502401_B5"	1.94066420241983	"alpha cell"
"HP1502401_B7"	1.75144042472226	"beta cell"
"HP1502401_B8"	1.7722440530317	"delta cell"
"HP1502401_C1"	2.3849052824187	"acinar cell"
"HP1502401_C10"	1.84179262775019	"beta cell"
"HP1502401_C12"	2.20792107908908	"ductal cell"
"HP1502401_C14"	1.97546028271391	"alpha cell"
"HP1502401_C16"	1.93199487429861	"alpha cell"
"HP1502401_C18"	1.83529770941025	"beta cell"
"HP1502401_C2"	1.62134256770672	"unclassified endocrine cell"
"HP1502401_C20"	1.84848747240744	"delta cell"
"HP1502401_C21"	1.78077895401269	"beta cell"
"HP1502401_C22"	1.61676877430526	"unclassified endocrine cell"
"HP1502401_C4"	1.99436865153077	"alpha cell"
"HP1502401_C5"	1.80000036700751	"delta cell"
"HP1502401_C6"	1.84894532686791	"beta cell"
"HP1502401_C7"	1.77503234731036	"beta cell"
"HP1502401_C8"	1.78973523386116	"delta cell"
"HP1502401_D10"	2.34137454012576	"acinar cell"
"HP1502401_D12"	1.80480856378414	"delta cell"
"HP1502401_D13"	1.74153483746937	"beta cell"
"HP1502401_D16"	1.96381064784584	"alpha cell"
"HP1502401_D17"	1.86690219151813	"delta cell"
"HP1502401_D18"	2.20702597770053	"ductal cell"
"HP1502401_D2"	2.35041939812933	"acinar cell"
"HP1502401_D20"	1.94121560372912	"alpha cell"
"HP1502401_D22"	1.78114608195324	"beta cell"
"HP1502401_D23"	1.61933296278617	"unclassified endocrine cell"
"HP1502401_D24"	1.95290624418964	"alpha cell"
"HP1502401_D3"	1.81446373662812	"beta cell"
"HP1502401_D4"	2.25637639656879	"ductal cell"
"HP1502401_D5"	1.96063303983265	"alpha cell"
"HP1502401_D6"	1.81447431100807	"beta cell"
"HP1502401_D7"	1.69643924131407	"beta cell"
"HP1502401_D8"	2.02169557279854	"alpha cell"
"HP1502401_E10"	1.82031497063304	"beta cell"
"HP1502401_E11"	1.99672998965108	"alpha cell"
"HP1502401_E14"	0.392909587098012	"epsilon cell"
"HP1502401_E16"	1.98120530689262	"alpha cell"
"HP1502401_E17"	1.5046785699515	"alpha cell"
"HP1502401_E18"	1.62206049291913	"unclassified endocrine cell"
"HP1502401_E19"	1.84678006456556	"beta cell"
"HP1502401_E2"	2.34120904154082	"acinar cell"
"HP1502401_E20"	2.34406121849592	"acinar cell"
"HP1502401_E21"	2.05501606957258	"alpha cell"
"HP1502401_E22"	1.78240877231042	"co-expression cell"
"HP1502401_E23"	2.32323474088692	"acinar cell"
"HP1502401_E24"	2.33077212793268	"acinar cell"
"HP1502401_E3"	1.83945530304904	"delta cell"
"HP1502401_E5"	0.400676215699185	"gamma cell"
"HP1502401_E6"	1.97359044909651	"alpha cell"
"HP1502401_E7"	0.401565399386515	"gamma cell"
"HP1502401_E9"	1.74579427104927	"delta cell"
"HP1502401_F10"	1.93851051594128	"alpha cell"
"HP1502401_F11"	1.85326569042265	"delta cell"
"HP1502401_F12"	2.01678824916949	"alpha cell"
"HP1502401_F13"	2.34263510372437	"acinar cell"
"HP1502401_F15"	0.411537060376387	"gamma cell"
"HP1502401_F16"	1.78115949184359	"beta cell"
"HP1502401_F17"	0.429651050114262	"gamma cell"
"HP1502401_F18"	0.422617890588162	"gamma cell"
"HP1502401_F19"	1.96751757105023	"alpha cell"
"HP1502401_F20"	1.99257932196523	"alpha cell"
"HP1502401_F21"	1.79974062255485	"beta cell"
"HP1502401_F22"	1.794962656694	"beta cell"
"HP1502401_F23"	1.99946824776705	"alpha cell"
"HP1502401_F24"	1.76724769750053	"beta cell"
"HP1502401_F4"	2.04323118035781	"alpha cell"
"HP1502401_F9"	1.73915826501169	"beta cell"
"HP1502401_G10"	2.0029113282857	"alpha cell"
"HP1502401_G11"	0.405583609528067	"gamma cell"
"HP1502401_G12"	0.425122901638571	"gamma cell"
"HP1502401_G14"	1.83213475212066	"beta cell"
"HP1502401_G18"	2.34257105423632	"acinar cell"
"HP1502401_G20"	1.80907010766133	"delta cell"
"HP1502401_G21"	1.62157273477887	"unclassified endocrine cell"
"HP1502401_G22"	1.80660662188565	"beta cell"
"HP1502401_G23"	2.18864492798896	"ductal cell"
"HP1502401_G24"	1.81511055960512	"beta cell"
"HP1502401_G3"	1.76885165787134	"delta cell"
"HP1502401_G4"	1.82670797019777	"beta cell"
"HP1502401_G5"	1.83144585063909	"beta cell"
"HP1502401_G6"	1.77945457921902	"beta cell"
"HP1502401_G7"	2.00746351043248	"alpha cell"
"HP1502401_G8"	1.97801564200469	"alpha cell"
"HP1502401_H1"	1.89638547659522	"alpha cell"
"HP1502401_H11"	1.82540337744209	"beta cell"
"HP1502401_H12"	1.82080615117726	"beta cell"
"HP1502401_H13"	0.460550718932701	"gamma cell"
"HP1502401_H14"	1.97002506484795	"alpha cell"
"HP1502401_H15"	1.94050366824609	"alpha cell"
"HP1502401_H16"	1.94520252305278	"alpha cell"
"HP1502401_H18"	2.1936950190584	"PSC cell"
"HP1502401_H19"	1.83362951400272	"beta cell"
"HP1502401_H2"	2.00349299654883	"alpha cell"
"HP1502401_H20"	1.90008269941572	"alpha cell"
"HP1502401_H21"	2.28388401679637	"ductal cell"
"HP1502401_H22"	1.79411651959341	"beta cell"
"HP1502401_H23"	2.19980162110163	"ductal cell"
"HP1502401_H24"	1.98532449260822	"alpha cell"
"HP1502401_H3"	1.95202868942834	"alpha cell"
"HP1502401_H4"	1.96233077620981	"alpha cell"
"HP1502401_H5"	1.99025649260075	"alpha cell"
"HP1502401_H6"	1.75490620236292	"delta cell"
"HP1502401_H7"	1.91700935949027	"alpha cell"
"HP1502401_H8"	1.97183190859327	"alpha cell"
"HP1502401_I1"	1.94382699167348	"alpha cell"
"HP1502401_I12"	1.77996376481811	"endothelial cell"
"HP1502401_I14"	2.34404979034316	"acinar cell"
"HP1502401_I15"	1.97234726624238	"alpha cell"
"HP1502401_I16"	1.99412201634208	"alpha cell"
"HP1502401_I18"	1.89050302589647	"alpha cell"
"HP1502401_I19"	1.64182545054764	"unclassified endocrine cell"
"HP1502401_I2"	2.19942277399867	"ductal cell"
"HP1502401_I21"	2.28510550502041	"ductal cell"
"HP1502401_I22"	1.96334619341388	"alpha cell"
"HP1502401_I23"	2.1026706388468	"alpha cell"
"HP1502401_I24"	1.81910745775001	"beta cell"
"HP1502401_I4"	2.13310224771516	"alpha cell"
"HP1502401_I6"	1.99099840313351	"beta cell"
"HP1502401_I7"	1.79420389233	"delta cell"
"HP1502401_I8"	0.406370769363076	"gamma cell"
"HP1502401_I9"	1.76769307435627	"delta cell"
"HP1502401_J1"	2.02632274102024	"alpha cell"
"HP1502401_J10"	1.82188476072783	"beta cell"
"HP1502401_J11"	1.95440813331211	"alpha cell"
"HP1502401_J12"	1.81169355474086	"beta cell"
"HP1502401_J14"	1.98061669659436	"alpha cell"
"HP1502401_J15"	2.18931053173445	"ductal cell"
"HP1502401_J16"	1.90905331512966	"mast cell"
"HP1502401_J17"	2.27097810510654	"ductal cell"
"HP1502401_J18"	1.9838181915411	"alpha cell"
"HP1502401_J19"	2.18963307209735	"ductal cell"
"HP1502401_J2"	2.33558598327152	"acinar cell"
"HP1502401_J20"	2.03433358667834	"alpha cell"
"HP1502401_J21"	1.98147869828362	"alpha cell"
"HP1502401_J22"	1.83688373638668	"beta cell"
"HP1502401_J23"	1.97987429953214	"alpha cell"
"HP1502401_J24"	2.18785369288387	"ductal cell"
